dimension,code,label_en,sort_order
account_type,securities,Securities account,10
account_type,cash,Cash account,20
account_type,crypto,Crypto account,30
fiscal_envelope,CTO,Ordinary securities account,10
fiscal_envelope,PEA,Equity savings plan,20
fiscal_envelope,PEA_PME,Equity savings plan for SMEs,25
fiscal_envelope,AV,Life insurance,30
fiscal_envelope,PER,Retirement savings plan,35
fiscal_envelope,LIVRET_A,Livret A savings account,40
fiscal_envelope,LDDS,Sustainable development savings account,50
fiscal_envelope,LEP,Popular savings account,55
fiscal_envelope,PEL,Home savings plan,60
fiscal_envelope,CAT,Term deposit account,65
fiscal_envelope,CURRENT,Current account,70
custody_type,BROKER,Broker,10
custody_type,BANK,Bank,20
custody_type,INSURER,Insurer,30
custody_type,EXCHANGE,Exchange,40
custody_type,SELF_CUSTODY,Self custody,50
asset_class,EQUITY,Equity,10
asset_class,FUND,Fund,30
asset_class,BOND,Bond,40
asset_class,CRYPTO,Crypto asset,50
instrument_type,SHARE,Share,10
instrument_type,BOND,Bond,20
instrument_type,UCITS,UCITS fund,30
instrument_type,AIF,Alternative investment fund,40
instrument_type,OTHER,Other fund,50
instrument_type,ETF,ETF,60
instrument_type,ETC,ETC,70
instrument_type,ETN,ETN,80
instrument_type,COIN,Coin/token,90
instrument_type,RWA,Real-world asset,100
sector,DIVERSIFIED,Diversified,10
sector,TECHNOLOGY,Technology,20
sector,FINANCE,Finance,30
sector,INDUSTRIALS,Industrials,40
sector,HEALTHCARE,Healthcare,50
industry,SOFTWARE,Software,10
industry,SEMICONDUCTORS,Semiconductors,20
industry,BANKS,Banks,30
country,US,United States,10
country,JP,Japan,20
country,GB,United Kingdom,30
country,CA,Canada,40
country,FR,France,50
country,IE,Ireland,60
protection_type,MARKET_EXPOSED,Market exposed,10
protection_type,GUARANTEED,Guaranteed,20
protection_type,PARTIALLY_PROTECTED,Partially protected,30
protection_type,UNKNOWN,Unknown,40
